,Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Introduced countries,Seas,Islands,Biome,Climate,Seasonal behavior,Predators,Bird's call,Mating behavior,Reproduction season,Pregnancy duration,Baby carrying,Independent age,Female name,Male name,Baby name,Incubation period,Population trend,Population status
2768,Crested Ibis,Animalia,Chordata,,Aves,Pelecaniformes,,Threskiornithidae,Nipponia,Nipponia nippon,"500-1,000",26 yrs,,1000 g,,78.5 cm,,,,"['Rivers', 'Wetlands ', 'Agricultural', 'Anthropogenic biome', 'Forest', 'Marsh', 'Mountains', 'Swamp', 'Freshwater']",['Temperate'],Not a migrant,,Your browser does not support the audio element.,Monogamy,February-June,,3-4 eggs,45 days,,,chick,28 days,Increasing,Endangered (EN)
2769,South Polar Skua,Animalia,Chordata,,Aves,Charadriiformes,,Stercorariidae,Stercorarius,Stercorarius maccormicki,10-20 thou,10 yrs,50 km/h,"900-1,600 g",,53 cm,,,,"['Intertidal zone', 'Oceanic pelagic zone', 'Rocky areas ', 'Neritic zone', 'Coastal', 'Marine']","['Temperate', 'Polar']",Migrating,,Your browser does not support the audio element.,Monogamy,November-February,,2 eggs,45-50 days,,,chick,1 month,Stable,Least concern (LC)
2770,Black-and-White Warbler,Animalia,Chordata,,Aves,Passeriformes,,Parulidae,Mniotilta,Mniotilta varia,18 mln,11 yrs,,8-15 g,,11-13 cm,,,,"['Shrubland', 'Forest', 'Rainforest', 'Agricultural', 'Anthropogenic biome', 'Riparian', 'Montane forest', 'Mountains']","['Tropical', 'Temperate', 'Cold']",Migrating,,Your browser does not support the audio element.,Monogamy,varies with location,,4-5 eggs,22-33 days,,,chick,10-12 days,Stable,Least concern (LC)
2771,Magpie goose,Animalia,Chordata,,Aves,Anseriformes,,Anseranatidae,Anseranas,Anseranas semipalmata,,,,2-3 kg,,70-90 cm,,,,"['Coastal', 'Marsh', 'Wetlands ', 'Riparian', 'Swamp', 'Freshwater', 'Grassland']",['Temperate'],,,Your browser does not support the audio element.,,,,,,,,,,Stable,Least concern (LC)
2772,Red-throated loon,Animalia,Chordata,,Aves,Gaviiformes,,Gaviidae,Gavia,Gavia stellata,,,,1816 g,,,,,,"['Coastal', 'Lakes', 'Rivers', 'Freshwater', 'Neritic zone', 'Wetlands ', 'Marine']",[],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Decreasing,Least concern (LC)
2773,Greater adjutant,Animalia,Chordata,,Aves,Ciconiiformes,,Ciconiidae,Leptoptilos,Leptoptilos dubius,,,,,,120-152 cm,,,,"['Forest', 'Lakes', 'Marsh', 'Wetlands ', 'Riparian', 'Grassland', 'Anthropogenic biome', 'Suburban', 'Temporary pools', 'Urban wildlife', 'Freshwater']",['Tropical'],Not a migrant,,,,,,,,,,,,Decreasing,Endangered (EN)
2774,Satin Bowerbird,Animalia,Chordata,,Aves,Passeriformes,,Ptilonorhynchidae,Ptilonorhynchus,Ptilonorhynchus violaceus,Unknown,20-30 yrs,,170-290 g,,32-33 cm,,,,"['Anthropogenic biome', 'Urban wildlife', 'Forest']","['Tropical', 'Temperate']",Your browser does not support the audio element.,,,Polygyny,late August/September-January,,1-3 eggs,17-21 days,,,chick,3 weeks,Stable,Least concern (LC)
2775,Chilean Flamingo,Animalia,Chordata,,Aves,Phoenicopteriformes,,Phoenicopteridae,Phoenicopterus,Phoenicopterus chilensis,"300,000",40-50 yrs,59 km/h,2.5-3.5 kg,110-130 cm,79-145 cm,,,,"['Lakes', 'Wetlands ', 'Estuaries', 'Intertidal zone', 'Brackish water', 'Coastal', 'Mountains', 'Grassland', 'Freshwater', 'Neritic zone', 'Marine']","['Tropical', 'Temperate']",Migrating,,Your browser does not support the audio element.,Serial monogamy,April-May,,1 egg,65-70 days,,,chick,26-31 days,Decreasing,Near Threatened (NT)
2776,Black-billed cuckoo,Animalia,Chordata,,Aves,Cuculiformes,,Cuculidae,Coccyzus,Coccyzus erythropthalmus,,,,40-65 g,,28-31 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Marsh', 'Wetlands ', 'Riparian', 'Shrubland', 'Suburban', 'Urban wildlife']","['Temperate', 'Tropical']",Migrating,,Your browser does not support the audio element.,Monogamy,,,,21 to 24 days,,,,,Decreasing,Least concern (LC)
2777,Bush Stone-Curlew,Animalia,Chordata,,Aves,Charadriiformes,,Burhinidae,Burhinus,Burhinus grallarius,10-15 Thou,20-30 yrs,,625-670 g,50-60 cm,,,,,"['Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,Your browser does not support the audio element.,Monogamy,July-January,,2 eggs,3-9 months,,,chick,28 days,Decreasing,Least concern (LC)
2778,Barbary dove,Animalia,Chordata,,Aves,Columbiformes,,Columbidae,Streptopelia,Streptopelia risoria,,,,,,305 mm,,,,"['Grassland', 'Anthropogenic biome', 'Suburban', 'Urban wildlife', 'Savanna', 'Shrubland']",[],Migrating,,,,,,,,,,,,Stable,Least concern (LC)
2779,Marsh Wren,Animalia,Chordata,,Aves,Passeriformes,,Troglodytidae,Cistothorus,Cistothorus palustris,9.4 mln,9 yrs,,9-14 g,,10-14 cm,,,,"['Intertidal zone', 'Wetlands ', 'Freshwater', 'Marine', 'Marsh']","['Tropical', 'Temperate']","Partial Migrant, Migrating",,Your browser does not support the audio element.,Polygyny,,,4-6 eggs,27-29 days,,,chick,12-16 days,Increasing,Least concern (LC)
2780,Yellow-Headed Amazon,Animalia,Chordata,,Aves,Psittaciformes,,Psittacidae,Amazona,Amazona oratrix,"4,700",80 yrs,,,,38-43 cm,,,,"['Anthropogenic biome', 'Forest', 'Shrubland', 'Riparian', 'Woodland', 'Agricultural', 'Savanna']",['Tropical'],Not a migrant,,Your browser does not support the audio element.,Monogamy,February-June,,2-3 eggs,8-12 weeks,hen,cock,chick,26-28 days,Decreasing,Endangered (EN)
2781,Lazuli bunting,Animalia,Chordata,,Aves,Passeriformes,,Cardinalidae,Passerina,Passerina amoena,,,,13-18 g,,13-15 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Chaparral', 'Forest', 'Riparian', 'Grassland', 'Shrubland', 'Suburban', 'Urban wildlife']",['Temperate'],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Increasing,Least concern (LC)
2782,American Avocet,Animalia,Chordata,,Aves,Charadriiformes,,Recurvirostridae,Recurvirostra,Recurvirostra americana,"450,000",9-15 yrs,40 km/h,275-350 g,,43-47 cm,,,,"['Lakes', 'Intertidal zone', 'Brackish water', 'Coastal', 'Estuaries', 'Marsh', 'Wetlands ', 'Swamp', 'Freshwater', 'Marine']","['Tropical', 'Arid', 'Temperate']",Migrating,,Your browser does not support the audio element.,Monogamy,April-June,,3-4 eggs,28-35 days,,,chick,22-24 days,Stable,Least concern (LC)
2783,Ring-billed gull,Animalia,Chordata,,Aves,Charadriiformes,,Laridae,Larus,Larus delawarensis,,,,300-700 g,,43-54 cm,,,,"['Coastal', 'Freshwater', 'Lakes', 'Rivers', 'Marine', 'Anthropogenic biome', 'Suburban', 'Urban wildlife', 'Grassland', 'Neritic zone', 'Wetlands ']",['Temperate'],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Increasing,Least concern (LC)
2784,Green-Winged Teal,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Anas,Anas carolinensis,6.7 mln,20 yrs,70 km/h,140-500 g,,31-39 cm,,,,"['Lakes', 'Estuaries', 'Wetlands ', 'Freshwater', 'Forest', 'Intertidal zone', 'Shrubland', 'Coastal', 'Anthropogenic biome']","['Tropical', 'Temperate', 'Polar']",Migrating,,Your browser does not support the audio element.,"Serial monogamy,",varies with location,,5-16 eggs,5-6 weeks,duck,drake,duckling,21-23 days,Increasing,Not evaluated (NE)
2785,Brewer's blackbird,Animalia,Chordata,,Aves,Passeriformes,,Icteridae,Euphagus,Euphagus cyanocephalus,,,,50-86 g,,20-25 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Chaparral', 'Forest', 'Marsh', 'Wetlands ', 'Mountains', 'Riparian', 'Grassland', 'Shrubland', 'Suburban', 'Urban wildlife', 'Intertidal zone', 'Marine']",['Temperate'],Migrating,,Your browser does not support the audio element.,Monogamy,,,,33-39 days,,,,,Decreasing,Least concern (LC)
2786,European pied flycatcher,Animalia,Chordata,,Aves,Passeriformes,,Muscicapidae,Ficedula,Ficedula hypoleuca,,11 years,,13 g,,13 cm,,,Gibraltar,"['Coastal', 'Forest', 'Mountains', 'Anthropogenic biome', 'Savanna', 'Shrubland']","['Temperate', 'Tropical']",Migrating,,Your browser does not support the audio element.,,,,,,,,,,Decreasing,Least concern (LC)
2787,Calliope Hummingbird,Animalia,Chordata,,Aves,Apodiformes,,Trochilidae,Selasphorus,Selasphorus calliope,1-4.5 mln,8 yrs,48 km/h,2-3 g,,7-10 cm,,,,"['Shrubland', 'Anthropogenic biome', 'Forest', 'Grassland']","['Tropical', 'Temperate']",Migrating,,Your browser does not support the audio element.,Polygyny,April-July,,2 eggs,20 days,,,chick,15-16 days,Stable,Least concern (LC)
2788,Rockhopper Penguin,Animalia,Chordata,,Aves,Sphenisciformes,,Spheniscidae,Eudyptes,Eudyptes (chrysocome),Unknown,10 yrs,24 km/h,2-3.4 kg,45-58 cm,55 cm,,,,"['Intertidal zone', 'Oceanic pelagic zone', 'Coastal', 'Marine', 'Grassland', 'Neritic zone']","['Temperate', 'Cold']","Not a migrant, Migrating",,,Monogamy,early spring or late summer-,,2 eggs,65-72 days,hen,cock,"chick, nestling",32-34 days,,
2789,Rough-legged buzzard,Animalia,Chordata,,Aves,Accipitriformes,,Accipitridae,Buteo,Buteo lagopus,,,,745-1380 g,,46-59 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Mountains', 'Riparian', 'Grassland', 'Shrubland', 'Suburban', 'Urban wildlife', 'Freshwater', 'Rocky areas ', 'Wetlands ']",['Temperate'],Migrating,,Your browser does not support the audio element.,Monogamy,,,,55 to 70 days,,,,,Stable,Least concern (LC)
2790,Masked booby,Animalia,Chordata,,Aves,Suliformes,,Sulidae,Sula,Sula dactylatra,,25.5 years,,1220-2353 g,,74-86 cm,,,"Anguilla, Aruba, Bermuda, Bonaire, Sint Eustatius and Saba, Cayman Islands, Curaçao, Haiti, Martinique, Montserrat, Puerto Rico,","['Coastal', 'Oceanic pelagic zone', 'Marine', 'Intertidal zone', 'Neritic zone']",['Tropical'],Not a migrant,,Your browser does not support the audio element.,Monogamy,,,,1 to 2 months,,,,,Decreasing,Least concern (LC)
2791,Splendid Fairywren,Animalia,Chordata,,Aves,Passeriformes,,Maluridae,Malurus,Malurus splendens,Unknown,5-6 yrs,,9 g,,14 cm,,,,"['Shrubland', 'Forest', 'Savanna', 'Agricultural', 'Anthropogenic biome', 'Woodland']",['Tropical'],Not a migrant,,Your browser does not support the audio element.,Polygynandry,late August-January,,2-4 eggs,10-13 days,,,chick,14-15 days,Stable,Least concern (LC)
2792,Varied thrush,Animalia,Chordata,,Aves,Passeriformes,,Turdidae,Ixoreus,Ixoreus naevius,,5.5 years,,65-100 g,,,,,,"['Forest', 'Mountains']",[],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Decreasing,Least concern (LC)
2793,Purple heron,Animalia,Chordata,,Aves,Pelecaniformes,,Ardeidae,Ardea,Ardea purpurea,,,,499-1361 g,,78-90 cm,,,"Gibraltar, Eswatini","['Brackish water', 'Coastal', 'Freshwater', 'Lakes', 'Rivers', 'Swamp', 'Wetlands ', 'Forest', 'Intertidal zone', 'Shrubland', 'Marine']",['Temperate'],Partial Migrant,,Your browser does not support the audio element.,Monogamy,,,,56 days,,,,,Decreasing,Least concern (LC)
2794,Eastern Meadowlark,Animalia,Chordata,,Aves,Passeriformes,,Icteridae,Sturnella,Sturnella magna,37 mln,3-9 yrs,,76-150 g,,19-28 cm,,,,"['Shrubland', 'Agricultural', 'Anthropogenic biome', 'Grassland', 'Suburban', 'Urban wildlife']","['Tropical', 'Temperate']",Partial Migrant,,Your browser does not support the audio element.,Polygyny,summer,,2-6 eggs,24-26 days,,,chick,13-14 days,Increasing,Near Threatened (NT)
2795,Bali Myna,Animalia,Chordata,,Aves,Passeriformes,,Sturnidae,Leucopsar,Leucopsar rothschildi,50,5-15 yrs,,70-115 g,,25 cm,,,,"['Shrubland', 'Anthropogenic biome', 'Forest', 'Savanna', 'Agricultural', 'Woodland']",['Tropical'],Not a migrant,,,Monogamy,rainy season,,2-3 eggs,,,,chick,12-15 days,Decreasing,Critically endangered (CR)
2796,Thick-Billed Parrot,Animalia,Chordata,,Aves,Psittaciformes,,Psittacidae,Rhynchopsitta,Rhynchopsitta pachyrhyncha,"2,000-2,800",40 yrs,50 km/h,314-373 g,,38-40 cm,,,,['Forest'],['Temperate'],Not a migrant,,Your browser does not support the audio element.,Monogamy,May-August,,2-4 eggs,7 months,hen,cock,chick,24-30 days,Decreasing,Endangered (EN)
2797,European Roller,Animalia,Chordata,,Aves,Coraciiformes,,Coraciidae,Coracias,Coracias garrulus,200-600 thou,9-10 yrs,,27-160 g,,29-32 cm,,,,"['Shrubland', 'Anthropogenic biome', 'Forest', 'Grassland', 'Savanna']","['Tropical', 'Temperate']",Migrating,,Your browser does not support the audio element.,Monogamy,May-June,,6 eggs,6.5-7 weeks,,,chick,17-19 days,Decreasing,Least concern (LC)
2798,Dunlin,Animalia,Chordata,,Aves,Charadriiformes,,Scolopacidae,Calidris,Calidris alpina,,,,45 -65 g,,16 -22 cm,,,,"['Coastal', 'Marsh', 'Wetlands ', 'Freshwater', 'Anthropogenic biome', 'Intertidal zone', 'Neritic zone', 'Marine']","['Polar', 'Temperate']",Migrating,,Your browser does not support the audio element.,Monogamy,,,,1 to 24 hours,,,,,Decreasing,Least concern (LC)
2799,Sooty Tern,Animalia,Chordata,,Aves,Charadriiformes,,Laridae,Onychoprion,Onychoprion fuscatus,21-22 Mln,32 yrs,40 km/h,150-240 g,,33-36 cm,,,,"['Intertidal zone', 'Oceanic pelagic zone', 'Neritic zone', 'Coastal', 'Marine']","['Tropical', 'Temperate']",Migrating,,Your browser does not support the audio element.,Monogamy,"varies with location, in some regions year-round",,1 egg,2 months,,,chick,28-30 days,,
2800,Pygmy falcon,Animalia,Chordata,,Aves,Falconiformes,,Falconidae,Polihierax,Polihierax semitorquatus,,,,54-76 g,,20 cm,,,,"['Forest', 'Grassland', 'Shrubland', 'Savanna']",['Tropical'],Not a migrant,,Your browser does not support the audio element.,Monogamy,,,,2 months,,,,,Stable,Least concern (LC)
2801,Ring-Necked Duck,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Aythya,Aythya collaris,Unknown,5-20 yrs,,490-910 g,,39-46 cm,,,,"['Lakes', 'Rivers', 'Wetlands ', 'Agricultural', 'Anthropogenic biome', 'Bog', 'Brackish water', 'Coastal', 'Estuaries', 'Freshwater', 'Marsh', 'Riparian', 'Grassland']","['Tropical', 'Temperate', 'Cold']",Migrating,,Your browser does not support the audio element.,Serial monogamy,May,,8-10 eggs,49-55 days,duck,drake,duckling,25-29 days,Increasing,Least concern (LC)
2802,Great Green Macaw,Animalia,Chordata,,Aves,Psittaciformes,,Psittacidae,Ara,Ara ambiguus,"500-1,000",60-70 yrs,,1.3 kg,,85-90 cm,,,,"['Forest', 'Woodland', 'Tropical rainforest']",['Tropical'],Not a migrant,,,Monogamy,December-June in Costa Rica; August-October in Ecuador,,2-3 eggs,18-20 weeks,hen,cock,chick,26 days,Decreasing,Critically endangered (CR)
2803,James's Flamingo,Animalia,Chordata,,Aves,Phoenicopteriformes,,Phoenicopteridae,Phoenicoparrus,Phoenicoparrus jamesi,"106,000",20-30 yrs,60 km/h,2 kg,1 m,90-92 cm,,,,"['Lakes', 'Wetlands ', 'Brackish water', 'Freshwater', 'Marsh', 'Rivers', 'Marine', 'Temporary pools', 'Anthropogenic biome']",['Tropical'],Migrating,,Your browser does not support the audio element.,Monogamy,January-March,,1 egg,3 months,,,chick,27-31 days,Stable,Near Threatened (NT)
2804,Tricolored Heron,Animalia,Chordata,,Aves,Pelecaniformes,,Ardeidae,Egretta,Egretta tricolor,,17 yrs,,334-415 g,,56-76 cm,,,,"['Intertidal zone', 'Wetlands ', 'Brackish water', 'Coastal', 'Estuaries', 'Freshwater', 'Marsh', 'Rivers', 'Marine', 'Swamp', 'Forest']","['Tropical', 'Temperate']",Migrating,,Your browser does not support the audio element.,Monogamy,early to mid-March,,3-4 eggs,35 days,hen,cock,chick,21 days,Stable,Least concern (LC)
2805,Lark Bunting,Animalia,Chordata,,Aves,Passeriformes,,Emberizidae,Calamospiza,Calamospiza melanocorys,"10,000,000",4 yrs,,30-51 g,,14-18 cm,,,,"['Anthropogenic biome', 'Grassland', 'Shrubland']","['Arid', 'Cold']",Migrating,,Your browser does not support the audio element.,Monogamy,mid-April to July,,3-6 eggs,8-9 days,,,chick,10-11 days,Decreasing,Least concern (LC)
2806,Ural Owl,Animalia,Chordata,,Aves,Strigiformes,,Strigidae,Strix,Strix uralensis,"396,000-1,1M",24 yrs,,"451-1,454 g",,50-62 cm,,,,"['Wetlands ', 'Anthropogenic biome', 'Forest']",['Temperate'],Not a migrant,,Your browser does not support the audio element.,Monogamy,varies with location,,3-4 eggs,3 months,,,"owlet, fledgling",28-35 days,Stable,Least concern (LC)
2807,Wilson's phalarope,Animalia,Chordata,,Aves,Charadriiformes,,Scolopacidae,Steganopus,Phalaropus tricolor,,,,38-128 g,,22-24 cm,,,,"['Freshwater', 'Lakes', 'Marsh', 'Wetlands ', 'Temporary pools', 'Forest', 'Grassland', 'Intertidal zone', 'Marine']",[],Migrating,,Your browser does not support the audio element.,"Polyandry,",,,,1 days,,,,,Increasing,Least concern (LC)
2808,Horned Puffin,Animalia,Chordata,,Aves,Charadriiformes,,Alcidae,Fratercula,Fratercula corniculata,1.2 mln,over 20 yrs,64 km/h,500 g,20 cm,36-41 cm,,,,"['Oceanic pelagic zone', 'Rocky areas ', 'Neritic zone', 'Coastal', 'Marine']","['Temperate', 'Cold', 'Polar']",Not a migrant,,,Monogamy,May-September,,1 egg,40 days,,,chick,41 days,Decreasing,Least concern (LC)
2809,Northern bald ibis,Animalia,Chordata,,Aves,Pelecaniformes,,Threskiornithidae,Geronticus,Geronticus eremita,,,,0.8-1.4 kg,,70-80 cm,,,,"['Anthropogenic biome', 'Caves', 'Grassland', 'Rocky areas ', 'Shrubland', 'Wetlands ', 'Coastal']",['Temperate'],Migrating,,Your browser does not support the audio element.,Monogamy,,,,2 to 4 months,,,,,Stable,Endangered (EN)
2810,Royal Penguin,Animalia,Chordata,,Aves,Sphenisciformes,,Spheniscidae,Eudyptes,Eudyptes schlegeli,Unknown,15-20 yrs,30 km/h,3-8 kg,65-76 cm,65-75 cm,,,,"['Oceanic pelagic zone', 'Neritic zone', 'Coastal', 'Marine', 'Grassland']",['Temperate'],Not a migrant,,Your browser does not support the audio element.,Monogamy,September-March,,2 eggs,65 days,hen,cock,"chick, nestling",30-35 days,Stable,Near Threatened (NT)
2811,Black-legged kittiwake,Animalia,Chordata,,Aves,Charadriiformes,,Laridae,Rissa,Rissa tridactyla,,25.5 years,,317 g,,,,,,"['Coastal', 'Intertidal zone', 'Neritic zone', 'Oceanic pelagic zone', 'Marine']",[],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Decreasing,Vulnerable (VU)
2812,Northern Fulmar,Animalia,Chordata,,Aves,Procellariiformes,,Procellariidae,Fulmarus,Fulmarus glacialis,20 mln,34-50 yrs,47 km/h,450-1000 g,,39-50 cm,,,,"['Oceanic pelagic zone', 'Coastal', 'Marine', 'Neritic zone']","['Temperate', 'Cold', 'Polar']",Migrating,,Your browser does not support the audio element.,Monogamy,May,,1 egg,70-75 days,,,chick,50-54 days,Increasing,Least concern (LC)
2813,Sand Martin,Animalia,Chordata,,Aves,Passeriformes,,Hirundinidae,Riparia,Riparia riparia,10-500M,9 yrs,50 km/h,10-19 g,,12-14 cm,,,,"['Lakes', 'Rivers', 'Wetlands ', 'Agricultural', 'Anthropogenic biome', 'Coastal', 'Estuaries', 'Forest', 'Marsh', 'Riparian', 'Grassland', 'Shrubland', 'Freshwater']","['Tropical', 'Temperate']",Migrating,,Your browser does not support the audio element.,Serial monogamy,late March to late September,,4-5 eggs,25-29 days,,,chick,14-15 days,Decreasing,Least concern (LC)
2814,Florida Scrub-Jay,Animalia,Chordata,,Aves,Passeriformes,,Corvidae,Aphelocoma,Aphelocoma coerulescens,"6,000-9,000",4-15 yrs,,66-92 g,,23-28 cm,,,,"['Shrubland', 'Forest', 'Riparian', 'Anthropogenic biome', 'Suburban', 'Urban wildlife']","['Tropical', 'Temperate']",Not a migrant,,Your browser does not support the audio element.,Monogamy,March-June,,3-4 eggs,10 weeks,,,chick,17 days,Decreasing,Vulnerable (VU)
2815,Dwarf cassowary,Animalia,Chordata,,Aves,Casuariiformes,,Casuariidae,Casuarius,Casuarius bennetti,,,,18 kg,,99-135 cm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome']",['Tropical'],,,,"Polyandry,",,,,7 to 16 months,,,,,Stable,Least concern (LC)
2816,Western kingbird,Animalia,Chordata,,Aves,Passeriformes,,Tyrannidae,Tyrannus,Tyrannus verticalis,,,,35-45 g,,20-24 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland', 'Urban wildlife', 'Savanna']",['Temperate'],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Increasing,Least concern (LC)
2817,Crested serpent eagle,Animalia,Chordata,,Aves,Accipitriformes,,Accipitridae,Spilornis,Spilornis cheela,,,,420-1800 g,,55-76 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Marsh', 'Wetlands ', 'Rainforest', 'Riparian', 'Grassland', 'Freshwater', 'Neritic zone', 'Savanna']","['Temperate', 'Tropical']",Not a migrant,,Your browser does not support the audio element.,,,,,,,,,,Stable,Least concern (LC)
2818,American Oystercatcher,Animalia,Chordata,,Aves,Charadriiformes,,Haematopodidae,Haematopus,Haematopus palliatus,43-110 thou,10-17 yrs,,400-700 g,,42-52 cm,,,,"['Intertidal zone', 'Coastal', 'Marine', 'Marsh', 'Brackish water']","['Tropical', 'Temperate']",Migrating,,Your browser does not support the audio element.,Monogamy,April-July,,2-4 eggs,95 days,,,chick,25-27 days,Stable,Least concern (LC)
2819,Greater Bird-of-Paradise,Animalia,Chordata,,Aves,Passeriformes,,Paradisaeidae,Paradisaea,Paradisaea apoda,Unknown,5-30 yrs,,,,35-43 cm,,,,['Forest'],['Tropical'],Not a migrant,,Your browser does not support the audio element.,Polygyny,"March-May, August-December",,7 eggs,,,,chick,,Decreasing,Least concern (LC)
